CA-openiti.docs.shard.000.normalized.sents	128487
CA-openiti.docs.shard.001.normalized.sents	477123
CA-openiti.docs.shard.002.normalized.sents	309122
CA-openiti.docs.shard.003.normalized.sents	290550
CA-openiti.docs.shard.004.normalized.sents	228907
CA-openiti.docs.shard.005.normalized.sents	223107
CA-openiti.docs.shard.006.normalized.sents	551174
CA-openiti.docs.shard.007.normalized.sents	536370
CA-openiti.docs.shard.008.normalized.sents	190027
CA-openiti.docs.shard.009.normalized.sents	426263
CA-openiti.docs.shard.010.normalized.sents	376481
CA-openiti.docs.shard.011.normalized.sents	428492
CA-openiti.docs.shard.012.normalized.sents	190157
CA-openiti.docs.shard.013.normalized.sents	426198
CA-openiti.docs.shard.014.normalized.sents	378458
CA-openiti.docs.shard.015.normalized.sents	817486
CA-openiti.docs.shard.016.normalized.sents	786670
CA-openiti.docs.shard.017.normalized.sents	569027
CA-openiti.docs.shard.018.normalized.sents	630693
CA-openiti.docs.shard.019.normalized.sents	658402
CA-openiti.docs.shard.020.normalized.sents	386703
CA-openiti.docs.shard.021.normalized.sents	630942
CA-openiti.docs.shard.022.normalized.sents	664498
CA-openiti.docs.shard.023.normalized.sents	512751
CA-openiti.docs.shard.024.normalized.sents	841071
CA-openiti.docs.shard.025.normalized.sents	806757
CA-openiti.docs.shard.026.normalized.sents	545846
CA-openiti.docs.shard.027.normalized.sents	964816
CA-openiti.docs.shard.028.normalized.sents	637965
CA-openiti.docs.shard.029.normalized.sents	1020022
CA-openiti.docs.shard.030.normalized.sents	684713
CA-openiti.docs.shard.031.normalized.sents	996889
CA-openiti.docs.shard.032.normalized.sents	1428315
CA-openiti.docs.shard.033.normalized.sents	598995
CA-openiti.docs.shard.034.normalized.sents	887294
CA-openiti.docs.shard.035.normalized.sents	1630538
CA-openiti.docs.shard.036.normalized.sents	1117035
CA-openiti.docs.shard.037.normalized.sents	1626348
CA-openiti.docs.shard.038.normalized.sents	1103688
CA-openiti.docs.shard.039.normalized.sents	1468167
CA-openiti.docs.shard.040.normalized.sents	926915
CA-openiti.docs.shard.041.normalized.sents	1145931
CA-openiti.docs.shard.042.normalized.sents	2202365
